sent1,sent2,unicode,label,strategy,attribute,filename,emoji,separate_filenames
This is sparkler [EM] crystal_ball.,This is bright future.,U+1F387 U+1F52E,1,0,AUSPICIOUSNESS,128.png,🎇🔮,"['noto-emoji/png/512/emoji_u1f387.png', 'noto-emoji/png/512/emoji_u1f52e.png']"
This is bright_button [EM] crystal_ball.,This is bright future.,U+1F506 U+1F52E,1,0,AUSPICIOUSNESS,129.png,🔆🔮,"['noto-emoji/png/512/emoji_u1f506.png', 'noto-emoji/png/512/emoji_u1f52e.png']"
This is glowing_star [EM] graduation_cap.,This is bright future.,U+1F31F U+1F393,1,1,AUSPICIOUSNESS,130.png,🌟🎓,"['noto-emoji/png/512/emoji_u1f31f.png', 'noto-emoji/png/512/emoji_u1f393.png']"
This is smiling_face_with_sunglasses [EM] man_scientist [EM] woman_health_worker [EM] technologist.,This is bright future.,U+1F60E U+1F468 U+200D U+1F52C U+1F469 U+200D U+2695 U+FE0F U+1F9D1 U+200D U+1F4BB,1,2,AUSPICIOUSNESS,131.png,😎👨‍🔬👩‍⚕️🧑‍💻,"['noto-emoji/png/512/emoji_u1f60e.png', 'noto-emoji/png/512/emoji_u1f468.png', 'noto-emoji/png/512/emoji_u1f52c.png', 'noto-emoji/png/512/emoji_u1f469.png', 'noto-emoji/png/512/emoji_u2695.png', 'noto-emoji/png/512/emoji_u1f9d1.png', 'noto-emoji/png/512/emoji_u1f4bb.png']"
This is sun [EM] crystal_ball.,This is bright future.,U+2600 U+FE0F U+1F52E,1,0,AUSPICIOUSNESS,132.png,☀️🔮,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f52e.png']"
This is man_scientist [EM] woman_student [EM] man_health_worker.,This is bright future.,U+1F468 U+200D U+1F52C U+1F469 U+200D U+1F393 U+1F468 U+200D U+2695 U+FE0F,1,2,AUSPICIOUSNESS,133.png,👨‍🔬👩‍🎓👨‍⚕️,"['noto-emoji/png/512/emoji_u1f468.png', 'noto-emoji/png/512/emoji_u1f52c.png', 'noto-emoji/png/512/emoji_u1f469.png', 'noto-emoji/png/512/emoji_u1f393.png', 'noto-emoji/png/512/emoji_u1f468.png', 'noto-emoji/png/512/emoji_u2695.png']"
This is sun [EM] fog.,This is bright future.,U+2600 U+FE0F U+1F32B,1,0,AUSPICIOUSNESS,134.png,☀️🌫,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f32b.png']"
This is hourglass_not_done [EM] fast-forward_button [EM] thumbs_up [EM] thumbs_up.,This is bright future.,U+23F3 U+23E9 U+1F44D U+1F44D,1,1,AUSPICIOUSNESS,135.png,⏳⏩👍👍,"['noto-emoji/png/512/emoji_u23f3.png', 'noto-emoji/png/512/emoji_u23e9.png', 'noto-emoji/png/512/emoji_u1f44d.png', 'noto-emoji/png/512/emoji_u1f44d.png']"
This is sparkler [EM] sun.,This is bright sun.,U+1F387 U+2600 U+FE0F,1,0,LUMINOSITY,136.png,🎇☀️,"['noto-emoji/png/512/emoji_u1f387.png', 'noto-emoji/png/512/emoji_u2600.png']"
This is bright_button [EM] sun.,This is bright sun.,U+1F506 U+2600 U+FE0F,1,0,LUMINOSITY,137.png,🔆☀️,"['noto-emoji/png/512/emoji_u1f506.png', 'noto-emoji/png/512/emoji_u2600.png']"
This is glowing_star [EM] sun_behind_small_cloud [EM] sunset [EM] sunrise.,This is bright sun.,U+1F31F U+1F324 U+1F307 U+1F305,1,2,LUMINOSITY,138.png,🌟🌤🌇🌅,"['noto-emoji/png/512/emoji_u1f31f.png', 'noto-emoji/png/512/emoji_u1f324.png', 'noto-emoji/png/512/emoji_u1f307.png', 'noto-emoji/png/512/emoji_u1f305.png']"
This is sun [EM] bright_button.,This is bright sun.,U+2600 U+FE0F U+1F506,1,0,LUMINOSITY,139.png,☀️🔆,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f506.png']"
This is sparkles [EM] sun.,This is bright sun.,U+2728 U+2600 U+FE0F,1,0,LUMINOSITY,140.png,✨☀️,"['noto-emoji/png/512/emoji_u2728.png', 'noto-emoji/png/512/emoji_u2600.png']"
This is sun [EM] glowing_star.,This is bright sun.,U+2600 U+FE0F U+1F31F,1,0,LUMINOSITY,141.png,☀️🌟,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u1f31f.png']"
This is sun [EM] sun.,This is bright sun.,U+2600 U+FE0F U+2600 U+FE0F,1,3,LUMINOSITY,142.png,☀️☀️,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u2600.png']"
This is sun [EM] sun.,This is bright sun.,U+2600 U+FE0F U+2600 U+FE0F,1,3,LUMINOSITY,143.png,☀️☀️,"['noto-emoji/png/512/emoji_u2600.png', 'noto-emoji/png/512/emoji_u2600.png']"
This is sparkler [EM] dress.,This is bright dress.,U+1F387 U+1F457,1,0,COLOR,144.png,🎇👗,"['noto-emoji/png/512/emoji_u1f387.png', 'noto-emoji/png/512/emoji_u1f457.png']"
