EN,EM,Description,Composition strategy,Attribute,positional sensitivity
big business,👔📈,"[':necktie:', ':chart_increasing:']",Metaphorical,SIZE,3
big business,🏢🤑🤑,"[':office_building:', ':money-mouth_face:', ':money-mouth_face:']",Metaphorical,SIZE,2
big business,👨‍💻🤝,"[':man_technologist:', ':handshake:']",Metaphorical,SIZE,3
big business,🏢🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':office_building:', ':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",Metaphorical,SIZE,2
big business,👩‍💻🤑,"[':woman_technologist:', ':money-mouth_face:']",Metaphorical,SIZE,3
big business,💰📈,"[':money_bag:', ':chart_increasing:']",Metaphorical,SIZE,3
big business,🏢🏢🏢📊🌍,"[':office_building:', ':office_building:', ':office_building:', ':bar_chart:', ':globe_showing_Europe-Africa:']",Metaphorical,SIZE,2
big business,🤝📆,"[':handshake:', ':tear-off_calendar:']",Metaphorical,SIZE,3
big expenditure,📈💸,"[':chart_increasing:', ':money_with_wings:']",Direct,SIZE,3
big expenditure,🥘🌯🌯🤑🤑💸💸,"[':shallow_pan_of_food:', ':burrito:', ':burrito:', ':money-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':money_with_wings:']",Metaphorical,SIZE,2
big expenditure,👨‍💻💸,"[':man_technologist:', ':money_with_wings:']",Metaphorical,SIZE,3
big expenditure,💸💸,"[':money_with_wings:', ':money_with_wings:']",Reduplication,SIZE,1
big expenditure,🤑💸,"[':money-mouth_face:', ':money_with_wings:']",Metaphorical,SIZE,2
big expenditure,📈💸,"[':chart_increasing:', ':money_with_wings:']",Direct,SIZE,3
big expenditure,🐘💵💸,"[':elephant:', ':dollar_banknote:', ':money_with_wings:']",Direct,SIZE,3
big expenditure,🤑💸,"[':money-mouth_face:', ':money_with_wings:']",Metaphorical,SIZE,2
big voice,📢🗣️,"[':loudspeaker:', ':speaking_head:']",Metaphorical,VOLUME,3
big voice,📢📣,"[':loudspeaker:', ':megaphone:']",Semantic list,VOLUME,2
big voice,🔊,[':speaker_high_volume:'],Single,VOLUME,1
big voice,🗣📢,"[':speaking_head:', ':loudspeaker:']",Metaphorical,VOLUME,3
big voice,🗣️💢,"[':speaking_head:', ':anger_symbol:']",Metaphorical,VOLUME,4
big voice,🎙🗣,"[':studio_microphone:', ':speaking_head:']",Metaphorical,VOLUME,3
big voice,🤬🤬,"[':face_with_symbols_on_mouth:', ':face_with_symbols_on_mouth:']",Reduplication,VOLUME,1
big voice,🗣️💢,"[':speaking_head:', ':anger_symbol:']",Metaphorical,VOLUME,4
big group,🧑‍🤝‍🧑👫👭👬,"[':people_holding_hands:', ':woman_and_man_holding_hands:', ':women_holding_hands:', ':men_holding_hands:']",Reduplication,SIZE,1
big group,👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦,"[':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:']",Reduplication,SIZE,1
