sent1,sent2,label,strategy
🎇🔮,bright future,1,0
🔆🔮,bright future,1,0
🌟🎓,bright future,1,1
😎👨‍🔬👩‍⚕️🧑‍💻,bright future,1,2
☀️🔮,bright future,1,0
👨‍🔬👩‍🎓👨‍⚕️,bright future,1,2
☀️🌫️,bright future,1,0
⏳⏩👍👍,bright future,1,1
🎇☀️,bright sun,1,0
🔆☀️,bright sun,1,0
🌟🌤️🌇🌅,bright sun,1,2
☀️🔆,bright sun,1,0
✨☀️,bright sun,1,0
☀️🌟,bright sun,1,0
☀️☀️,bright sun,1,3
☀️☀️,bright sun,1,3
🎇👗,bright dress,1,0
🔆👗,bright dress,1,0
✨👗,bright dress,1,0
🔆👗💃,bright dress,1,0
☀️🎨👗,bright dress,1,0
👗✨,bright dress,1,0
☀️👗,bright dress,1,0
👗✨,bright dress,1,0
🎇🏫,bright room,1,0
🔆🚹🚺,bright room,1,0
✨🏠,bright room,1,0
💡🕯️🏠,bright room,1,0
☀️🏫,bright room,1,0
💡💒,bright room,1,0
☀️,bright room,1,4
☀️🏫,bright room,1,0
🕶️🕴️,dark shadow,1,1
⚫👥,dark shadow,1,1
🕶️🕶️👤,dark shadow,1,1
❌💡🧍,dark shadow,1,1
🌑👤,dark shadow,1,1
🌑,dark shadow,1,4
🌚,dark shadow,1,4
🌑🚹,dark shadow,1,1
🕶️🌅,dark day,1,0
⚫📆,dark day,1,0
🌪️🌫️🌫️,dark day,1,1
⛈️🌫️🌑,dark day,1,1
🌑📆,dark day,1,0
😈👣,dark day,1,1
🌑,dark day,1,4
🌑🌃,dark day,1,0
🕶️🥛,dark glass,1,0
⚫🥛,dark glass,1,0
🕶️🕶️,dark glass,1,3
🕶️,dark glass,1,4
🌑🍷,dark glass,1,0
👿,dark glass,1,4
🌃,dark glass,1,4
🕶️,dark glass,1,4
🕶️🌊,dark undercurrent,1,0
⚫🌊,dark undercurrent,1,0
⚫⛈️,dark undercurrent,1,0
🌑🌊💦,dark undercurrent,1,0
🌑🔞🌊,dark undercurrent,1,0
👿😱😨,dark undercurrent,1,2
♠️👿,dark undercurrent,1,1
😈📈,dark undercurrent,1,1
🕶️🗳️,dark corner,1,0
⚫🧱,dark corner,1,0
🔦🚫🚫,dark corner,1,1
🌑❌💡,dark corner,1,1
🌑🏫🤫㊙️,dark corner,1,1
😨👹,dark corner,1,1
🌑🪃,dark corner,1,0
🕶️🏠,dark corner,1,0
🕶️👿,dark purpose,1,1
⚫😈,dark purpose,1,1
😈😈😈😈,dark purpose,1,3
🌑😵💀,dark purpose,1,1
😈❓🤷‍♀️,dark purpose,1,1
👿👹👺😏,dark purpose,1,2
👿😈,dark purpose,1,3
🌑😈👹,dark purpose,1,1
👉🏞️,right bank,1,0
👉🏦,right bank,1,0
➡️🏦💰,right bank,1,0
✅🏦,right bank,1,0
✔️🏦,right bank,1,0
👉🏦,right bank,1,0
👍🏦💰💰💰,right bank,1,0
👍🏦💸💹,right bank,1,0
✋👉,right hand,1,0
👉🖐️,right hand,1,0
➡️🖐️,right hand,1,0
👉🖐️,right hand,1,0
👉🤚,right hand,1,0
👉👋,right hand,1,0
👉✔️,right hand,1,1
🤲🤚,right hand,1,1
👉,right side,1,4
👉👉,right side,1,3
➡️💁‍♀️,right side,1,2
👉🧍,right side,1,1
👉,right side,1,4
👉,right side,1,4
👤👉,right side,1,1
➡️🧑‍🤝‍🧑👈,right side,1,1
✔️,right decision,1,4
✔️💡👩👍,right decision,1,0
➡️🤝,right decision,1,0
✅🧠,right decision,1,0
👍,right decision,1,4
✅,right decision,1,4
🤔💭💡📈,right decision,1,1
🤔✅,right decision,1,1
✔️,right answer,1,4
✔️📄✍️,right answer,1,0
➡️✍️✅,right answer,1,0
✅📝,right answer,1,0
💯,right answer,1,4
✅,right answer,1,4
🤔❓📝💡✏️✔️,right answer,1,1
🙋‍♀️👍✅,right answer,1,1
✔️👨,right man,1,0
✔️👨💕,right man,1,0
➡️👨👌,right man,1,0
👍🕴️,right man,1,0
👍👨,right man,1,0
👉👱🏻‍♂️,right man,1,0
👩😍👨✔️,right man,1,1
👩‍❤️‍💋‍👨👨‍👩‍👦‍👦,right man,1,1
👉🛣️,right road,1,0
👉🛣️,right road,1,0
➡️🛣️,right road,1,0
✅🛣️,right road,1,0
✔️🛣️,right road,1,0
👉🛣️,right road,1,0
🚗🛣️✔️,right road,1,0
🛣️↗️,right road,1,1
✔️,right thing,1,4
✔️👍,right thing,1,1
➡️💯,right thing,1,1
👍✅,right thing,1,1
👍,right thing,1,4
💯,right thing,1,4
🗣️✔️,right thing,1,1
😀👍,right thing,1,1
🩳🏖️,short holiday,1,0
🥲🤏✈️⛩️,short holiday,1,1
⏳🏖️✈️🧳,short holiday,1,0
⌛🏖️,short holiday,1,0
↔️🏝️🍾💆🧖🧘,short holiday,1,1
🤏🏖️,short holiday,1,0
🤏🧳🛄,short holiday,1,1
🛫🛬,short holiday,1,1
🩳🍚,short ration,1,0
🤏🍠🍞🥚,short ration,1,0
🤏🥔🍠🍚,short ration,1,0
❎🥘,short ration,1,0
⏬🍚🍜,short ration,1,0
🤏🍞,short ration,1,0
🤏🌾,short ration,1,0
🤏🥔,short ration,1,0
🩳👩🏻‍🦰,short hair,1,0
💇‍♀️➡️👩‍🦰,short hair,1,1
💇,short hair,1,4
🤏🦱,short hair,1,0
👩‍🦰👩‍🦱🧑‍🦱,short hair,1,2
💇‍♀️,short hair,1,4
🤏💇‍♀️,short hair,1,0
👨‍🦱👩‍🦱,short hair,1,2
🩳🛳️💨,short smokestack,1,0
🤏🏭,short smokestack,1,0
🚢💨,short smokestack,1,1
🤏🏭,short smokestack,1,0
♨️🫁💨,short smokestack,1,1
🤏🔩⚙️,short smokestack,1,1
