EM,EN,unicode,label,strategy,image,predicted_label,generated_text
👔📈,big business,U+1F454 U+1F4C8,1,1,./generated_img_dataset/test_google/0.png,1,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: yes.
🏢🤑🤑,big business,U+1F3E2 U+1F911 U+1F911,1,1,./generated_img_dataset/test_google/1.png,1,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: yes.
👨‍💻🤝,big business,U+1F468 U+200D U+1F4BB U+1F91D,1,1,./generated_img_dataset/test_google/2.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
🏢🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,big business,U+1F3E2 U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,1,1,./generated_img_dataset/test_google/3.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
👩‍💻🤑,big business,U+1F469 U+200D U+1F4BB U+1F911,1,1,./generated_img_dataset/test_google/4.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
💰📈,big business,U+1F4B0 U+1F4C8,1,1,./generated_img_dataset/test_google/5.png,1,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: yes.
🏢🏢🏢📊🌍,big business,U+1F3E2 U+1F3E2 U+1F3E2 U+1F4CA U+1F30D,1,1,./generated_img_dataset/test_google/6.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
🤝📆,big business,U+1F91D U+1F4C6,1,1,./generated_img_dataset/test_google/7.png,0,user:  does this emoji sequence mean 'big business'? answer yes or no. assistant: no.
📈💸,big expenditure,U+1F4C8 U+1F4B8,1,0,./generated_img_dataset/test_google/8.png,1,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: yes.
🥘🌯🌯🤑🤑💸💸,big expenditure,U+1F958 U+1F32F U+1F32F U+1F911 U+1F911 U+1F4B8 U+1F4B8,1,1,./generated_img_dataset/test_google/9.png,1,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: yes.
👨‍💻💸,big expenditure,U+1F468 U+200D U+1F4BB U+1F4B8,1,1,./generated_img_dataset/test_google/10.png,1,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: yes.
💸💸,big expenditure,U+1F4B8 U+1F4B8,1,3,./generated_img_dataset/test_google/11.png,1,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: yes.
🤑💸,big expenditure,U+1F911 U+1F4B8,1,1,./generated_img_dataset/test_google/12.png,1,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: yes.
📈💸,big expenditure,U+1F4C8 U+1F4B8,1,0,./generated_img_dataset/test_google/13.png,1,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: yes.
🐘💵💸,big expenditure,U+1F418 U+1F4B5 U+1F4B8,1,0,./generated_img_dataset/test_google/14.png,1,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: yes.
🤑💸,big expenditure,U+1F911 U+1F4B8,1,1,./generated_img_dataset/test_google/15.png,1,user:  does this emoji sequence mean 'big expenditure'? answer yes or no. assistant: yes.
📢🗣️,big voice,U+1F4E2 U+1F5E3 U+FE0F,1,1,./generated_img_dataset/test_google/16.png,1,user:  does this emoji sequence mean 'big voice'? answer yes or no. assistant: yes.
📢📣,big voice,U+1F4E2 U+1F4E3,1,2,./generated_img_dataset/test_google/17.png,1,user:  does this emoji sequence mean 'big voice'? answer yes or no. assistant: yes.
🔊,big voice,U+1F50A,1,4,./generated_img_dataset/test_google/18.png,1,user:  does this emoji sequence mean 'big voice'? answer yes or no. assistant: yes.
🗣️📢,big voice,U+1F5E3 U+FE0F U+1F4E2,1,1,./generated_img_dataset/test_google/19.png,1,user:  does this emoji sequence mean 'big voice'? answer yes or no. assistant: yes.
🗣️💢,big voice,U+1F5E3 U+FE0F U+1F4A2,1,1,./generated_img_dataset/test_google/20.png,1,user:  does this emoji sequence mean 'big voice'? answer yes or no. assistant: yes.
🎙️🗣️,big voice,U+1F399 U+FE0F U+1F5E3 U+FE0F,1,1,./generated_img_dataset/test_google/21.png,1,user:  does this emoji sequence mean 'big voice'? answer yes or no. assistant: yes.
🤬🤬,big voice,U+1F92C U+1F92C,1,3,./generated_img_dataset/test_google/22.png,0,user:  does this emoji sequence mean 'big voice'? answer yes or no. assistant: no.
🗣️💢,big voice,U+1F5E3 U+FE0F U+1F4A2,1,1,./generated_img_dataset/test_google/23.png,1,user:  does this emoji sequence mean 'big voice'? answer yes or no. assistant: yes.
🧑‍🤝‍🧑👫👭👬,big group,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F46B U+1F46D U+1F46C,1,3,./generated_img_dataset/test_google/24.png,1,user:  does this emoji sequence mean 'big group'? answer yes or no. assistant: yes.
👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦,big group,U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466 U+1F468 U+200D U+1F466,1,3,./generated_img_dataset/test_google/25.png,1,user:  does this emoji sequence mean 'big group'? answer yes or no. assistant: yes.
👬👬👬👬👬👬👬👬👬👬👬,big group,U+1F46C U+1F46C U+1F46C U+1F46C U+1F46C U+1F46C U+1F46C U+1F46C U+1F46C U+1F46C U+1F46C,1,3,./generated_img_dataset/test_google/26.png,0,<SKIPPED_OR_ERROR>
👥👥👥,big group,U+1F465 U+1F465 U+1F465,1,3,./generated_img_dataset/test_google/27.png,1,user:  does this emoji sequence mean 'big group'? answer yes or no. assistant: yes.
👫👭👨‍👨‍👧‍👧👬👨‍👨‍👧,big group,U+1F46B U+1F46D U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467 U+1F46C U+1F468 U+200D U+1F468 U+200D U+1F467,1,2,./generated_img_dataset/test_google/28.png,1,user:  does this emoji sequence mean 'big group'? answer yes or no. assistant: yes.
👥👥,big group,U+1F465 U+1F465,1,3,./generated_img_dataset/test_google/29.png,1,user:  does this emoji sequence mean 'big group'? answer yes or no. assistant: yes.
👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦,big group,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466 U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466 U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466 U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466 U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,1,3,./generated_img_dataset/test_google/30.png,1,user:  does this emoji sequence mean 'big group'? answer yes or no. assistant: yes.
🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,big group,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,1,3,./generated_img_dataset/test_google/31.png,1,user:  does this emoji sequence mean 'big group'? answer yes or no. assistant: yes.
🧔‍♂️😲⬆️,big man,U+1F9D4 U+200D U+2642 U+FE0F U+1F632 U+2B06 U+FE0F,1,1,./generated_img_dataset/test_google/32.png,0,user:  does this emoji sequence mean 'big man'? answer yes or no. assistant: no.
🎅,big man,U+1F385,1,4,./generated_img_dataset/test_google/33.png,0,user:  does this emoji sequence mean 'big man'? answer yes or no. assistant: no.
🧑‍🦱,big man,U+1F9D1 U+200D U+1F9B1,1,4,./generated_img_dataset/test_google/34.png,0,user:  does this emoji sequence mean 'big man'? answer yes or no. assistant: no.
🧍‍♂️💪,big man,U+1F9CD U+200D U+2642 U+FE0F U+1F4AA,1,1,./generated_img_dataset/test_google/35.png,1,user:  does this emoji sequence mean 'big man'? answer yes or no. assistant: yes.
💪🧔‍♂️,big man,U+1F4AA U+1F9D4 U+200D U+2642 U+FE0F,1,1,./generated_img_dataset/test_google/36.png,1,user:  does this emoji sequence mean 'big man'? answer yes or no. assistant: yes.
👱‍♂️↔️↕️,big man,U+1F471 U+200D U+2642 U+FE0F U+2194 U+FE0F U+2195 U+FE0F,1,1,./generated_img_dataset/test_google/37.png,0,user:  does this emoji sequence mean 'big man'? answer yes or no. assistant: no.
🦸🦸‍♂️,big man,U+1F9B8 U+1F9B8 U+200D U+2642 U+FE0F,1,1,./generated_img_dataset/test_google/38.png,0,user:  does this emoji sequence mean 'big man'? answer yes or no. assistant: no.
💪🧍‍♂️,big man,U+1F4AA U+1F9CD U+200D U+2642 U+FE0F,1,1,./generated_img_dataset/test_google/39.png,1,user:  does this emoji sequence mean 'big man'? answer yes or no. assistant: yes.
🌇❗,big city,U+1F307 U+2757,1,1,./generated_img_dataset/test_google/40.png,1,user:  does this emoji sequence mean 'big city'? answer yes or no. assistant: yes.
🌇🌁🌆🏙️🌃🗽,big city,U+1F307 U+1F301 U+1F306 U+1F3D9 U+FE0F U+1F303 U+1F5FD,1,2,./generated_img_dataset/test_google/41.png,1,user:  does this emoji sequence mean 'big city'? answer yes or no. assistant: yes.
🇷🇺,big city,U+1F1F7 U+1F1FA,1,4,./generated_img_dataset/test_google/42.png,0,<SKIPPED_OR_ERROR>
🏙️,big city,U+1F3D9 U+FE0F,1,4,./generated_img_dataset/test_google/43.png,1,user:  does this emoji sequence mean 'big city'? answer yes or no. assistant: yes.
🌆🤯,big city,U+1F306 U+1F92F,1,1,./generated_img_dataset/test_google/44.png,1,user:  does this emoji sequence mean 'big city'? answer yes or no. assistant: yes.
🏙️↕️↔️,big city,U+1F3D9 U+FE0F U+2195 U+FE0F U+2194 U+FE0F,1,1,./generated_img_dataset/test_google/45.png,1,user:  does this emoji sequence mean 'big city'? answer yes or no. assistant: yes.
🌃🌃🌃🌃🌃,big city,U+1F303 U+1F303 U+1F303 U+1F303 U+1F303,1,3,./generated_img_dataset/test_google/46.png,1,user:  does this emoji sequence mean 'big city'? answer yes or no. assistant: yes.
🌇🏙️,big city,U+1F307 U+1F3D9 U+FE0F,1,2,./generated_img_dataset/test_google/47.png,1,user:  does this emoji sequence mean 'big city'? answer yes or no. assistant: yes.
🧔‍♂️💰,big tipper,U+1F9D4 U+200D U+2642 U+FE0F U+1F4B0,1,1,./generated_img_dataset/test_google/48.png,0,user:  does this emoji sequence mean 'big tipper'? answer yes or no. assistant: no.
🥞💸,big tipper,U+1F95E U+1F4B8,1,1,./generated_img_dataset/test_google/49.png,0,user:  does this emoji sequence mean 'big tipper'? answer yes or no. assistant: no.
💴💴💆‍♂️💇‍♂️,big tipper,U+1F4B4 U+1F4B4 U+1F486 U+200D U+2642 U+FE0F U+1F487 U+200D U+2642 U+FE0F,1,1,./generated_img_dataset/test_google/50.png,0,user:  does this emoji sequence mean 'big tipper'? answer yes or no. assistant: no.
🪙🪙,big tipper,U+1FA99 U+1FA99,1,3,./generated_img_dataset/test_google/51.png,0,user:  does this emoji sequence mean 'big tipper'? answer yes or no. assistant: no.
